Article_ID,Authors,Year,Title,Journal,Volume,Issue,Pages,DOI
3DL25DWL,"Lima, LS; Pinto, TK; Brandao, BDS; Santos, W; Hamilton, S; Domingues, EC; Klein, AP; Schettini, CA; Poersch, LH; Cavalli, RO",2019,Impact of cage farming of cobia (Rachycentron canadum) on the benthic macrofauna in a tropical region,AQUACULTURE,512,NA,NA,10.1016/j.aquaculture.2019.734314
HJLWKNHI,"Barros, FD; Almeida, SM; Cerqueira, PV; Silva, LC; Santos, MPD",NA,"Bird diversity in 'parica' (Schizolobium amazonicum Huber ex Ducke) plantations and forest fragments in Eastern Amazon: taxonomic diversity, ecological guilds, and functional trait composition",STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,NA,NA,NA,10.1080/01650521.2021.1914295
KFRZ99XY,"Ventorino, V; Pascale, A; Adamo, P; Rocco, C; Fiorentino, N; Mori, M; Faraco, V; Pepe, O; Fagnano, M",2018,Comparative assessment of autochthonous bacterial and fungal communities and microbial biomarkers of polluted agricultural soils of the Terra dei Fuochi,SCIENTIFIC REPORTS,8,NA,NA,10.1038/s41598-018-32688-5
HC3GW6QY,"Tng, DP; Goosem, M; Paz, CP; Preece, ND; Goosem, S; Fensham, RJ; Laurance, SGW",2016,Characteristics of the Psidium cattleianum invasion of secondary rainforests,AUSTRAL ECOLOGY,41,4,344-354,10.1111/aec.12319
DPWBFHTM,"Lipsey, MK; Hockey, PAR",2010,Do ecological networks in South African commercial forests benefit grassland birds? A case study of a pine plantation in KwaZulu-Natal,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,137,1-2,133-142,10.1016/j.agee.2010.01.013
2FDBM2NZ,"Yu, XL; Yang, XQ; Wu, YJ; Peng, YS; Yang, T; Xiao, FS; Zhong, QP; Xu, K; Shu, LF; He, Q; Tian, Y; Yan, QY; Wang, C; Wu, B; He, ZL",2020,Sonneratia apetala introduction alters methane cycling microbial communities and increases methane emissions in mangrove ecosystems,SOIL BIOLOGY & BIOCHEMISTRY,144,NA,NA,10.1016/j.soilbio.2020.107775
BQ59WT63,"Abom, R; Vogler, W; Schwarzkopf, L",2015,"Mechanisms of the impact of a weed (grader grass, Themeda quadrivalvis) on reptile assemblage structure in a tropical savannah",BIOLOGICAL CONSERVATION,191,NA,75-82,10.1016/j.biocon.2015.06.016
NYMMKN5Z,"Tomassetti, P; Gennaro, P; Lattanzi, L; Mercatali, I; Persia, E; Vani, D; Porrello, S",2016,Benthic community response to sediment organic enrichment by Mediterranean fish farms: Case studies,AQUACULTURE,450,NA,262-272,10.1016/j.aquaculture.2015.07.019
2WKFFDFG,"Weathered, J; Hammill, E",2019,Adaptation to agricultural pesticides may allow mosquitoes to avoid predators and colonize novel ecosystems,OECOLOGIA,190,1,219-227,10.1007/s00442-019-04403-2
IES5SFWE,"Davey, ML; Skogen, MJ; Heegaard, E; Halvorsen, R; Kauserud, H; Ohlson, M",2017,Host and tissue variations overshadow the response of boreal moss-associated fungal communities to increased nitrogen load,MOLECULAR ECOLOGY,26,2,571-588,10.1111/mec.13938
UY8J8NWY,"Xue, NN; Wang, LY; Li, WF; Wang, SS; Pan, XL; Zhang, DY",2020,Increased inheritance of structure and function of bacterial communities and pathogen propagation in plastisphere along a river with increasing antibiotics pollution gradient,ENVIRONMENTAL POLLUTION,265,PT A,NA,10.1016/j.envpol.2020.114641
72KNI3UJ,"Knowlton, JL; Graham, CH",2011,Species interactions are disrupted by habitat degradation in the highly threatened Tumbesian region of Ecuador,ECOLOGICAL APPLICATIONS,21,8,2974-2986,10.1890/10-1886.1
I3GCMLIM,"Ding, J; Liu, J; Chang, XB; Zhu, D; Lassen, SB",2020,Exposure of CuO nanoparticles and their metal counterpart leads to change in the gut microbiota and resistome of collembolans,CHEMOSPHERE,258,NA,NA,10.1016/j.chemosphere.2020.127347
E7YAMU5U,"Steven, B; Kuske, CR; Gallegos-Graves, LV; Reed, SC; Belnap, J",2015,Climate Change and Physical Disturbance Manipulations Result in Distinct Biological Soil Crust Communities,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,81,21,7448-7459,10.1128/AEM.01443-15
62U5SWA8,"Schleuss, PM; Widdig, M; Heintz-Buschart, A; Guhr, A; Martin, S; Kirkman, K; Spohn, M",2019,Stoichiometric controls of soil carbon and nitrogen cycling after long-term nitrogen and phosphorus addition in a mesic grassland in South Africa,SOIL BIOLOGY & BIOCHEMISTRY,135,NA,294-303,10.1016/j.soilbio.2019.05.018
F6XIYJIB,"Lecerf, A; Richardson, JS",2010,Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition,FOREST ECOLOGY AND MANAGEMENT,259,12,2433-2443,10.1016/j.foreco.2010.03.022
KZHSEF6I,"Leonard, EE; Mast, AM; Hawkins, CP; Kettenring, KM",2021,Arthropod Assemblages in Invasive and Native Vegetation of Great Salt Lake Wetlands,WETLANDS,41,5,NA,10.1007/s13157-021-01446-1
5TVST2QW,"McHugh, TA; Morrissey, EM; Mueller, RC; Gallegos-Graves, LV; Kuske, CR; Reed, SC",2017,"Bacterial, fungal, and plant communities exhibit no biomass or compositional response to two years of simulated nitrogen deposition in a semiarid grassland",ENVIRONMENTAL MICROBIOLOGY,19,4,1600-1611,10.1111/1462-2920.13678
YR79TMSQ,"Ellis, WL; Bell, SS",2013,Intertidal fish communities may make poor indicators of environmental quality: Lessons from a study of mangrove habitat modification,ECOLOGICAL INDICATORS,24,NA,421-430,10.1016/j.ecolind.2012.07.008
HMR9SXHJ,"McKinley, AC; Ryan, L; Coleman, MA; Knott, NA; Clark, G; Taylor, MD; Johnston, EL",2011,Putting marine sanctuaries into context: a comparison of estuary fish assemblages over multiple levels of protection and modification,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,21,7,636-648,10.1002/aqc.1223
THGHNY2M,"Dumalisile, L; Somers, MJ",2017,The Effects of an Invasive Alien Plant (Chromolaena odorata) on Large African Mammals,"NATURE CONSERVATION RESEARCH",2,4,102-108,10.24189/ncr.2017.048
EB86DW9G,"Holmes, MA; Matlack, GR",2017,"Agricultural history drives structure and tree species composition of second growth forest over 100 years in southeastern Ohio, USA",JOURNAL OF VEGETATION SCIENCE,28,4,736-746,10.1111/jvs.12516
VC93ER4Q,"Pan, YD; Deng, GP; Wang, LZ; Yong, C; Pang, WT; Wang, QX; Bo, L; Wang, BX; Zhang, J; Xu, RL",2017,Effects of in situ phosphorus enrichment on the benthos in a subalpine karst stream and implications for bioassessment in nature reserves,ECOLOGICAL INDICATORS,73,NA,274-283,10.1016/j.ecolind.2016.09.055
DUC6NASB,"Dully, V; Balliet, H; Fruhe, L; Daumer, M; Thielen, A; Gallie, S; Berrill, I; Stoeck, T",2021,"Robustness, sensitivity and reproducibility of eDNA metabarcoding as an environmental biomonitoring tool in coastal salmon aquaculture - An inter-laboratory study",ECOLOGICAL INDICATORS,121,NA,NA,10.1016/j.ecolind.2020.107049
67E5CC3R,"Leong, M; Ponisio, LC; Kremen, C; Thorp, RW; Roderick, GK",2016,"Temporal dynamics influenced by global change: bee community phenology in urban, agricultural, and natural landscapes",GLOBAL CHANGE BIOLOGY,22,3,1046-1053,10.1111/gcb.13141
2Y5FL6SG,"Diaz, J; Montano, L; Salinas, P; Benitez, A",2021,Epiphytic Cryptogams as Bioindicators of Air Quality in a Tropical Andean City,SUSTAINABILITY,13,20,NA,10.3390/su132011218
MUT9M3CI,"Bessa, F; Goncalves, SC; Franco, JN; Andre, JN; Cunha, PP; Marques, JC",2014,Temporal changes in macrofauna as response indicator to potential human pressures on sandy beaches,ECOLOGICAL INDICATORS,41,NA,49-57,10.1016/j.ecolind.2014.01.023
NL2FY3WS,"Mueller, RC; Rodrigues, JLM; Nusslein, K; Bohannan, BJM",2016,Land use change in the Amazon rain forest favours generalist fungi,FUNCTIONAL ECOLOGY,30,11,1845-1853,10.1111/1365-2435.12651
LPIBN7XG,"Souza, AF; Ramos, NP; Pizo, MA; Hubel, I; Crossetti, LO",2013,Afforestation effects on vegetation structure and diversity of grasslands in southern Brazil: The first years,JOURNAL FOR NATURE CONSERVATION,21,1,56-62,10.1016/j.jnc.2012.10.002
WYR3MQ3D,"Hu, AY; Li, S; Zhang, LP; Wang, HJ; Yang, J; Luo, ZX; Rashid, A; Chen, SQ; Huang, WX; Yu, CP",2018,"Prokaryotic footprints in urban water ecosystems: A case study of urban landscape ponds in a coastal city, China",ENVIRONMENTAL POLLUTION,242,NA,1729-1739,10.1016/j.envpol.2018.07.097
3EFCQKIR,"Ingels, J; dos Santos, G; Hicks, N; Vazquez, YV; Neres, PF; Pontes, LP; Amorim, MN; Roman, S; Du, YF; Stahl, H; Somerfield, PJ; Widdicombe, S",2018,Short-term CO2 exposure and temperature rise effects on metazoan meiofauna and free-living nematodes in sandy and muddy sediments: Results from a flume experiment,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,502,NA,211-226,10.1016/j.jembe.2017.07.012
WXHQF38M,"Keet, JH; Ellis, AG; Hui, C; Novoa, A; Le Roux, JJ",2021,"Impacts of Invasive Australian Acacias on Soil Bacterial Community Composition, Microbial Enzymatic Activities, and Nutrient Availability in Fynbos Soils",MICROBIAL ECOLOGY,82,3,704-721,10.1007/s00248-021-01683-1
9YXEFQM8,"Sambell, CE; Holland, GJ; Haslem, A; Bennett, AF",2019,Diverse land-uses shape new bird communities in a changing rural region,BIODIVERSITY AND CONSERVATION,28,13,3479-3496,10.1007/s10531-019-01833-5
SQFABMME,"Davis, KT; Callaway, RM; Fajardo, A; Pauchard, A; Nunez, MA; Brooker, RW; Maxwell, BD; Dimarco, RD; Peltzer, DA; Mason, B; Ruotsalainen, S; McIntosh, ACS; Pakeman, RJ; Smith, AL; Gundale, MJ",2019,Severity of impacts of an introduced species corresponds with regional eco-evolutionary experience,ECOGRAPHY,42,1,12-22,10.1111/ecog.04014
Q279WWTM,"Pajunen, V; Luoto, M; Soininen, J",2017,Unravelling direct and indirect effects of hierarchical factors driving microbial stream communities,JOURNAL OF BIOGEOGRAPHY,44,10,2376-2385,10.1111/jbi.13046
ISAMAMTX,"Morais, D; Pylro, V; Clark, IM; Hirsch, PR; Totola, MR",2016,Responses of microbial community from tropical pristine coastal soil to crude oil contamination,PEERJ,4,NA,NA,10.7717/peerj.1733
85YEEVLK,"Fraschetti, S; Guarnieri, G; Gambi, C; Bevilacqua, S; Terlizzi, A; Danovaro, R",2016,Impact of offshore gas platforms on the structural and functional biodiversity of nematodes,MARINE ENVIRONMENTAL RESEARCH,115,NA,56-64,10.1016/j.marenvres.2016.02.001
MLYDTLXS,"Stenchly, K; Waongo, A; Schaeper, W; Nyarko, G; Buerkert, A",2019,Structural landscape changes in urban and peri-urban agricultural systems of two West African cities and their relations to ecosystem services provided by woody plant communities,URBAN ECOSYSTEMS,22,2,397-408,10.1007/s11252-018-0811-5
RNVF46SB,"Louime, CJ; Vazquez-Sanchez, F; Derilus, D; Godoy-Vitorino, F",2020,Divergent Microbiota Dynamics along the Coastal Marine Ecosystem of Puerto Rico,MICROBIOLOGY RESEARCH,11,2,45-55,10.3390/microbiolres11020009
54LHYP5G,"Geeraert, L; Hulsmans, E; Helsen, K; Berecha, G; Aerts, R; Honnay, O",2019,Rapid diversity and structure degradation over time through continued coffee cultivation in remnant Ethiopian Afromontane forests,BIOLOGICAL CONSERVATION,236,NA,8-16,10.1016/j.biocon.2019.05.014
6Y9LQ9PA,"Driver, LJ; Hoeinghaus, DJ",2016,Spatiotemporal dynamics of intermittent stream fish metacommunities in response to prolonged drought and reconnectivity,MARINE AND FRESHWATER RESEARCH,67,11,1667-1679,10.1071/MF15072
CPTM2JNW,"Shaw, JLA; Ernakovich, JG; Judy, JD; Farrell, M; Whatmuff, M; Kirby, J",2020,Long-term effects of copper exposure to agricultural soil function and microbial community structure at a controlled and experimental field site,ENVIRONMENTAL POLLUTION,263,NA,NA,10.1016/j.envpol.2020.114411
Y8TH9CQX,"Rejzek, M; Coria, R; Kunst, C; Svatek, M; Kvasnica, J; Navall, M; Ledesma, R; Gomez, A; Matula, R",2017,To chop or not to chop? Tackling shrub encroachment by roller-chopping preserves woody plant diversity and composition in a dry subtropical forest,FOREST ECOLOGY AND MANAGEMENT,402,NA,29-36,10.1016/j.foreco.2017.07.032
AFGX3FPH,"Foster, BL; Kindscher, K; Houseman, GR; Murphy, CA",2009,"Effects of hay management and native species sowing on grassland community structure, biomass, and restoration",ECOLOGICAL APPLICATIONS,19,7,1884-1896,10.1890/08-0849.1
U4KYHLHV,"Meadows, AS; Ingels, J; Widdicombe, S; Hale, R; Rundle, SD",2015,Effects of elevated CO2 and temperature on an intertidal meiobenthic community,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,469,NA,44-56,10.1016/j.jembe.2015.04.001
9UFNAC8W,"Jiang, R; Wang, ME; Chen, WP; Li, XZ; Balseiro-Romero, M",2020,Changes in the integrated functional stability of microbial community under chemical stresses and the impacting factors in field soils,ECOLOGICAL INDICATORS,110,NA,NA,10.1016/j.ecolind.2019.105919
2JJYVHFZ,"Wang, CY; Jiang, K; Zhou, JW; Liu, J; Wu, BD",2018,Responses of soil N-fixing bacterial communities to redroot pigweed (Amaranthus retroflexus L.) invasion under Cu and Cd heavy metal soil pollution,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,267,NA,15-22,10.1016/j.agee.2018.08.002
GDLKHCGG,"Whorley, SB; Wehr, JD",2016,Connecting algal taxonomic information to essential fatty acid content in agricultural streams,PHYCOLOGIA,55,5,531-542,10.2216/15-123.1
G5FHYTPF,"Tonelli, M; Verdu, JR; Zunino, ME",2017,Effects of grazing intensity and the use of veterinary medical products on dung beetle biodiversity in the sub-mountainous landscape of Central Italy,PEERJ,5,NA,NA,10.7717/peerj.2780
NTAT2TL4,"Reich, M; Wichels, A; Panzer, K; Krause, E; Gimenez, L; Gerdts, G",2017,Impacts of a reduction in seawater pH mimicking ocean acidification on the structure and diversity of mycoplankton communities,AQUATIC MICROBIAL ECOLOGY,79,3,221-233,10.3354/ame01831
LLTFJ3VM,"Ratajczak, Z; Churchill, AC; Ladwig, LM; Taylor, JH; Collins, SL",2019,The combined effects of an extreme heatwave and wildfire on tallgrass prairie vegetation,JOURNAL OF VEGETATION SCIENCE,30,4,687-697,10.1111/jvs.12750
EYSQV2PL,"Meehan, ML; Barreto, C; Turnbull, MS; Bradley, RL; Bellenger, JP; Darnajoux, R; Lindo, Z",2020,Response of soil fauna to simulated global change factors depends on ambient climate conditions,PEDOBIOLOGIA,83,NA,NA,10.1016/j.pedobi.2020.150672
RN6WPSVS,"Wu, XN; Duan, CQ; Fu, DG; Peng, PY; Zhao, LQ; Jones, DL",2020,Effects ofAgeratina adenophoraInvasion on the Understory Community and Soil Phosphorus Characteristics of Different Forest Types in Southwest China,FORESTS,11,8,NA,10.3390/f11080806
DHCAMADX,"Blake, RE; Duffy, JE",2012,Changes in biodiversity and environmental stressors influence community structure of an experimental eelgrass Zostera marina system,MARINE ECOLOGY PROGRESS SERIES,470,NA,41-54,10.3354/meps10006
I522CKDZ,"Kumi, S; Addo-Fordjour, P; Fei-Baffoe, B; Belford, EJD; Ameyaw, Y",2021,"Land use land cover dynamics and fragmentation-induced changes in woody plant community structure in a mining landscape, Ghana",TREES FORESTS AND PEOPLE,4,NA,NA,10.1016/j.tfp.2021.100070
JCMB7KDR,"Li, YB; Lin, HZ; Gao, P; Yang, NI; Xu, R; Sun, XX; Li, BQ; Xu, FQ; Wang, XY; Song, BR; Sun, WM",NA,Synergistic Impacts of Arsenic and Antimony Co-contamination on Diazotrophic Communities,MICROBIAL ECOLOGY,NA,NA,NA,10.1007/s00248-021-01824-6
ZHWE2TDC,"Lauber, CL; Ramirez, KS; Aanderud, Z; Lennon, J; Fierer, N",2013,Temporal variability in soil microbial communities across land-use types,ISME JOURNAL,7,8,1641-1650,10.1038/ismej.2013.50
RFSPGZY8,"Bedford, J; Johns, D; McQuatters-Gollop, A",2019,A century of change in North Sea plankton communities explored through integrating historical datasets,ICES JOURNAL OF MARINE SCIENCE,76,1,104-112,10.1093/icesjms/fsy148
NK9HFE8G,"Hallfors, H; Backer, H; Leppanen, JM; Hallfors, S; Hallfors, G; Kuosa, H",2013,The northern Baltic Sea phytoplankton communities in 1903-1911 and 1993-2005: a comparison of historical and modern species data,HYDROBIOLOGIA,707,1,109-133,10.1007/s10750-012-1414-4
73VB4Z33,"Zhang, JW; Tang, HY; Zhu, JG; Lin, XG; Feng, YZ",2019,Effects of elevated ground-level ozone on paddy soil bacterial community and assembly mechanisms across four years,SCIENCE OF THE TOTAL ENVIRONMENT,654,NA,505-513,10.1016/j.scitotenv.2018.11.130
IIYHYCMA,"Wells, K; Kalko, EKV; Lakim, MB; Pfeiffer, M",2007,Effects of rain forest logging on species richness and assemblage composition of small mammals in Southeast Asia,JOURNAL OF BIOGEOGRAPHY,34,6,1087-1099,10.1111/j.1365-2699.2006.01677.x
GPJ78KQH,"Zhu, Y; Wang, YF; Chen, LD; Li, ZS",2021,Does non-native black locust afforestation affect soil biodiversity at the regional scale? Case study of soil macroinvertebrates across the Chinese Loess Plateau,CATENA,200,NA,NA,10.1016/j.catena.2021.105171
7P5WSHFF,"Rudgers, JA; Kivlin, SN; Whitney, KD; Price, MV; Waser, NM; Harte, J",2014,Responses of high-altitude graminoids and soil fungi to 20 years of experimental warming,ECOLOGY,95,7,1918-1928,10.1890/13-1454.1
6IZWHC7B,"Mu, DY; Meng, JH; Bo, XX; Wu, MY; Xiao, H; Wang, HY",2018,The effect of cadmium exposure on diversity of intestinal microbial community of Rana chensinensis tadpoles,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,154,NA,6-12,10.1016/j.ecoenv.2018.02.022
3KQEKBH2,"Gutierrez-Granados, G; Perez-Salicrup, DR; Dirzo, R",2011,Differential diameter-size effects of forest management on tree species richness and community structure: implications for conservation,BIODIVERSITY AND CONSERVATION,20,7,1571-1585,10.1007/s10531-011-0046-8
ASKXCXGH,"Franzese, J; Raffaele, E; Blackhall, M; Rodriguez, J; Soto, AY",2020,Changes in land cover resulting from the introduction of non-native pine modifies litter traits of temperate forests in Patagonia,JOURNAL OF VEGETATION SCIENCE,31,2,223-233,10.1111/jvs.12847
IC53GR69,"Strong, JA; Dring, MJ; Maggs, CA",2006,Colonisation and modification of soft substratum habitats by the invasive macroalga Sargassum muticum,MARINE ECOLOGY PROGRESS SERIES,321,NA,87-97,10.3354/meps321087
ZTD383AJ,"Burkle, LA; Heil, LJ; Belote, RT",2021,Salvage logging management affects species' roles in connecting plant-pollinator interaction networks across post-wildfire landscapes,JOURNAL OF APPLIED ECOLOGY,58,8,1790-1801,10.1111/1365-2664.13928
VP6DPUEG,"Granzotti, RV; Miranda, LE; Agostinho, AA; Gomes, LC",2018,Downstream impacts of dams: shifts in benthic invertivorous fish assemblages,AQUATIC SCIENCES,80,3,NA,10.1007/s00027-018-0579-y
YDGRV5BL,"Talaga, S; Dezerald, O; Carteron, A; Leroy, C; Carrias, JF; Cereghino, R; Dejean, A",2017,Urbanization impacts the taxonomic and functional structure of aquatic macroinvertebrate communities in a small Neotropical city,URBAN ECOSYSTEMS,20,5,1001-1009,10.1007/s11252-017-0653-6
M89EAXMW,"Licursi, M; Gomez, N",2009,Effects of dredging on benthic diatom assemblages in a lowland stream,JOURNAL OF ENVIRONMENTAL MANAGEMENT,90,2,973-982,10.1016/j.jenvman.2008.03.004
KATR464M,"Navarro-Barranco, C; Florido, M; Ros, M; Gonzalez-Romero, P; Guerra-Garcia, JM",2018,Impoverished mobile epifaunal assemblages associated with the invasive macroalga Asparagopsis taxiformis in the Mediterranean Sea,MARINE ENVIRONMENTAL RESEARCH,141,NA,44-52,10.1016/j.marenvres.2018.07.016
JSQ65ADY,"Meza-Salazar, AM; Guevara, G; Gomes-Dias, L; Cultid-Medina, CA",2020,"Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production",PEERJ,8,NA,NA,10.7717/peerj.9619
R54TXXSR,"Barnes, EM; Kutos, S; Naghshineh, N; Mesko, M; You, Q; Lewis, JD",2021,Assembly of the amphibian microbiome is influenced by the effects of land-use change on environmental reservoirs,ENVIRONMENTAL MICROBIOLOGY,23,8,4595-4611,10.1111/1462-2920.15653
8BEUL7XA,"Siebert, F; Klem, J; Van Coller, H",2020,Forb community responses to an extensive drought in two contrasting land-use types of a semi-arid Lowveld savanna,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,37,1,53-64,10.2989/10220119.2020.1726464
NNT9LEBX,"Bicknell, JE; Phelps, SP; Davies, RG; Mann, DJ; Struebig, MJ; Davies, ZG",2014,Dung beetles as indicators for rapid impact assessments: Evaluating best practice forestry in the neotropics,ECOLOGICAL INDICATORS,43,NA,154-161,10.1016/j.ecolind.2014.02.030
KIRWTF6B,"Vazquez-Luis, M; Sanchez-Jerez, P; Bayle-Sempere, JT",2008,Changes in amphipod (Crustacea) assemblages associated with shallow-water algal habitats invaded by Caulerpa racemosa var. cylindracea in the western Mediterranean Sea,MARINE ENVIRONMENTAL RESEARCH,65,5,416-426,10.1016/j.marenvres.2008.01.006
YAA8I8K7,"Dobert, TF; Webber, BL; Sugau, JB; Dickinson, KJM; Didham, RK",2018,"Logging, exotic plant invasions, and native plant reassembly in a lowland tropical rain forest",BIOTROPICA,50,2,254-265,10.1111/btp.12521
7ZBCXKK6,"Arango, RA; Schoville, SD; Currie, CR; Carlos-Shanley, C",2021,"Experimental Warming Reduces Survival, Cold Tolerance, and Gut Prokaryotic Diversity of the Eastern Subterranean Termite, Reticulitermes flavipes (Kollar)",FRONTIERS IN MICROBIOLOGY,12,NA,NA,10.3389/fmicb.2021.632715
NCVZXSDW,"Lopes, ML; Rodrigues, AM; Quintino, V",2017,Can the leaf-bag technique detect benthic macrofauna responses to sediment contamination by metals and metalloids in estuaries?,MARINE POLLUTION BULLETIN,124,1,171-180,10.1016/j.marpolbul.2017.07.027
XWPX9DQ7,"Zhou, ZQ; Li, XJ; Chen, LL; Li, BQ; Liu, TT; Ai, BH; Yang, LF; Liu, B; Chen, Q",2018,"Macrobenthic assemblage characteristics under stressed waters and ecological health assessment using AMBI and M-AMBI: a case study at the Xin'an River Estuary, Yantai, China",ACTA OCEANOLOGICA SINICA,37,5,77-86,10.1007/s13131-018-1180-x
3AUBQDDH,"Shore, A; Day, RD; Stewart, JA; Burge, CA",2021,Dichotomy between Regulation of Coral Bacterial Communities and Calcification Physiology under Ocean Acidification Conditions,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,87,6,NA,10.1128/AEM.02189-20
D3KLVXTW,"Ayup, MM; Montti, L; Aragon, R; Grau, HR",2014,Invasion of Ligustrum lucidum (Oleaceae) in the southern Yungas: Changes in habitat properties and decline in bird diversity,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,54,NA,72-81,10.1016/j.actao.2013.03.006
PX8EJLTD,"Xiong, W; Ni, P; Chen, YY; Gao, YC; Li, SG; Zhan, AB",2019,Biological consequences of environmental pollution in running water ecosystems: A case study in zooplankton,ENVIRONMENTAL POLLUTION,252,NA,1483-1490,10.1016/j.envpol.2019.06.055
RZV3DAFX,"Eyitayo, DL; McCarthy, BC",2020,"Plant Community Composition in Two Human-Modified Landscapes, a Powerline Corridor and an Old Field",CASTANEA,85,1,185-198,10.2179/0008-7475.85.1.185
CKI3AFPW,"Urra, J; Ayala, JM; McConnico, LA; Mendez, C; Valdes, LAM; Pleites, A; Riosmena-Rodriguez, R",2018,Impact of artisanal benthic fisheries on marine ecosystems: A case study in the Gulf of California,ESTUARINE COASTAL AND SHELF SCIENCE,212,NA,1-10,10.1016/j.ecss.2018.06.024
RLKJ9P7J,"Le Stradic, S; Fernandes, GW; Buisson, E",2018,No recovery of campo rupestre grasslands after gravel extraction: implications for conservation and restoration,RESTORATION ECOLOGY,26,NA,S151-S159,10.1111/rec.12713
ASA3LWIK,"Luneberg, K; Schneider, D; Siebe, C; Daniel, R",2018,"Drylands soil bacterial community is affected by land use change and different irrigation practices in the Mezquital Valley, Mexico",SCIENTIFIC REPORTS,8,NA,NA,10.1038/s41598-018-19743-x
VATMZRFM,"Kpan, TF; Ernst, R; Rodel, MO",2021,Follow the forest: Slow resilience of West African rainforest frog assemblages after selective logging,FOREST ECOLOGY AND MANAGEMENT,497,NA,NA,10.1016/j.foreco.2021.119489
3U2VT6WP,"Bardhan, S; Jose, S; Biswas, S; Kabir, K; Rogers, W",2012,Homegarden agroforestry systems: an intermediary for biodiversity conservation in Bangladesh,AGROFORESTRY SYSTEMS,85,1,29-34,10.1007/s10457-012-9515-7
J89Z83QT,"Becker, C; Hughen, K; Mincer, TJ; Ossolinski, J; Weber, L; Apprill, A",2017,Impact of prawn farming effluent on coral reef water nutrients and microorganisms,AQUACULTURE ENVIRONMENT INTERACTIONS,9,NA,331-346,10.3354/aei00238
8BS5MGT4,"Zhang, F; Zhang, H; Yuan, Y; Liu, D; Zhu, CY; Zheng, D; Li, GH; Wei, YQ; Sun, D",2020,Different response of bacterial community to the changes of nutrients and pollutants in sediments from an urban river network,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,14,2,NA,10.1007/s11783-019-1207-3
CTS2MDH6,"Milakovic, M; Vestergaard, G; Gonzalez-Plaza, JJ; Petric, I; Simatovic, A; Senta, I; Kublik, S; Schloter, M; Smalla, K; Udikovic-Kolic, N",2019,Pollution from azithromycin-manufacturing promotes macrolide-resistance gene propagation and induces spatial and seasonal bacterial community shifts in receiving river sediments,ENVIRONMENT INTERNATIONAL,123,NA,501-511,10.1016/j.envint.2018.12.050
D2HMGB8D,"Li, MS; Wang, TY; Li, L; Gao, Q; Gao, YH; Liu, SX; Wang, HB",2019,Effects of Long-Term Nitrogen Fertilizer Application on Rhizosphere Microorganisms under Different Soil Types,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,28,3,1771-1784,10.15244/pjoes/89583
SF7KRQ6C,"Boersma, M; Wiltshire, KH; Kong, SM; Greve, W; Renz, J",2015,Long-term change in the copepod community in the southern German Bight,JOURNAL OF SEA RESEARCH,101,NA,41-50,10.1016/j.seares.2014.12.004
QUHXHNZQ,"Semedo, M; Song, B",2020,From Genes to Nitrogen Removal: Determining the Impacts of Poultry Industry Wastewater on Tidal Creek Denitrification,ENVIRONMENTAL SCIENCE & TECHNOLOGY,54,1,146-157,10.1021/acs.est.9b03560
4R496IGZ,"Liu, Y; Wikfors, GH; Rose, JM; McBride, RS; Milke, LM; Mercaldo-Allen, R",2019,Application of Environmental DNA Metabarcoding to Spatiotemporal Finfish Community Assessment in a Temperate Embayment,FRONTIERS IN MARINE SCIENCE,6,NA,NA,10.3389/fmars.2019.00674
4Q42QXWB,"Hughes, TP; Kerry, JT; Baird, AH; Connolly, SR; Dietzel, A; Eakin, CM; Heron, SF; Hoey, AS; Hoogenboom, MO; Liu, G; McWilliam, MJ; Pears, RJ; Pratchett, MS; Skirving, WJ; Stella, JS; Torda, G",2018,Global warming transforms coral reef assemblages,"NATURE",556,7702,492-+,10.1038/s41586-018-0041-2
N8JUGRZP,"Cui, YX; Fang, LC; Guo, XB; Wang, X; Wang, YQ; Zhang, YJ; Zhang, XC",2019,"Responses of soil bacterial communities, enzyme activities, and nutrients to agricultural-to-natural ecosystem conversion in the Loess Plateau, China",JOURNAL OF SOILS AND SEDIMENTS,19,3,1427-1440,10.1007/s11368-018-2110-4
GSYGKQ6F,"Wasson, K; Woolfolk, A",2011,Salt Marsh-Upland Ecotones in Central California: Vulnerability to Invasions and Anthropogenic Stressors,WETLANDS,31,2,1-14,10.1007/s13157-011-0153-z
